COUNTRY,Fragile States Index,"Women, Peace, and Security Index",Poverty Rate(2010-2020),Infant Mortality,Unemployment Rate(2000-2020),Violent Crime Index Rate(2022),Suicide Rate(2022),Incarceration Rate(2022),Global Rate Depression(2022),Global Alcoholism rate(2019),Global Drug Rate(2019)
Mali,67.8,0.539,42.1,58.77,1.6,,4.1,34,3.6,0.47,0.27
Malta,24.5,0.807,17.1,5.63,4.3,1.59,6.1,159,5.1,1.88,0.97
Marshall Islands,,,,25.52,6.4,,,66,,0.8,0.74
Mauritania,60.3,0.583,31,49.02,10.3,,3.1,47,4.1,1.26,0.7
Mauritius,22.6,0.752,10.3,14.8,6.3,2.92,9.5,205,4.4,1.26,0.7
Mexico,49.3,0.693,41.9,11.77,4.5,29.07,5.3,169,4.2,1.39,0.58
Micronesia,41.5,,41.2,20.85,8.9,,28.2,127,3.1,0.75,0.77
Moldova,41.5,0.743,7.3,12.46,3.8,4.1,14.7,,5.4,2.02,0.68
Mongolia,32.3,0.776,28.4,13.22,7,6.18,17.9,183,4.2,4.44,0.62
Montenegro,39.3,0.791,24.5,1.95,17.9,2.23,21,,4.8,2.03,0.65
Morocco,46.2,0.625,4.8,16.02,9.3,1.42,7.2,232,4.5,0.43,0.5
Mozambique,62.5,0.675,46.1,52.77,3.4,3.51,13.6,57,4.1,1.66,0.37
Myanmar,67.1,0.587,24.8,35.05,0.5,2.26,2.9,171,3.7,0.8,0.52
Namibia,39.8,0.748,17.4,30.14,19.9,17.68,9.7,295,4.4,2.19,0.72
Nepal,56.1,0.717,25.2,23.59,11.4,2.3,9,85,3.2,1.23,0.39
Netherlands,14.5,0.879,13.6,3.58,3.8,0.59,11.8,60,4.7,1.81,1.15
New Zealand,9.9,0.869,,3.93,4.6,0.74,11,164,5.4,3.44,1.84
Nicaragua,49.3,0.712,24.9,13.79,5.2,7.19,4.4,332,4.2,2.76,0.38
Niger,65.1,0.554,40.8,45.61,7.8,4.43,,,3.4,0.47,0.3
Nigeria,65.6,0.604,40.1,72.24,8.5,34.52,5.3,32,3.9,0.51,0.3
North Macedonia,40.2,0.806,21.6,5.2,17.2,1.2,9.4,103,,1.9,0.45
Norway,11.8,0.904,12.7,1.79,4.4,0.47,11.8,56,4.7,1.71,1.05
Oman,32.8,,,6.45,2.9,0.27,4.9,45,4.7,0.46,0.38
Pakistan,62.9,0.46,24.3,54.15,4.1,3.88,8.9,37,4.2,1.42,0.46
Palau,,,24.9,15.67,1.4,11.17,,478,,0.86,0.78
Palestine,56.4,,29.2,14.2,,0.49,,,,0.42,0.45
Panama,32.6,0.731,22.1,12.34,18.6,9.39,2.9,434,4.4,1.65,0.57
Papua New Guinea,51.5,0.658,39.9,35.23,2.6,9.75,3,58,3,0.78,0.69
Paraguay,41.6,0.738,23.5,16.18,7.5,7.14,6,205,5.2,2.73,0.73
Peru,46.6,0.735,20.2,9.95,7.4,7.91,2.8,259,4.8,0.81,0.94
Philippines,58.5,0.709,16.7,20.95,2.5,6.46,2.2,151,3.3,0.81,0.55
Poland,28.1,0.838,15.4,3.74,3.2,0.73,11.3,190,5.1,3.27,0.85
Portugal,14.7,0.856,17.2,2.73,6.8,0.79,11.5,113,5.7,3.16,0.81
Qatar,31.3,0.73,,4.93,0.1,0.37,5.8,56,5.1,0.52,0.45
Republic of the Congo,61.8,0.512,40.9,32.98,10,,,27,,,
Romania,31.6,0.767,23.8,5.63,5,1.28,9.7,120,5,2.18,0.36
Russia,51.4,0.77,12.6,4.36,5.6,8.21,25.1,326,5.5,2.93,1.22
Rwanda,57,0.743,38.2,30.27,15.3,2.58,5.6,580,3.8,3,0.44
Saint Kitts and Nevis,,,,12.58,5.1,36.09,,423,,1.55,0.84
Saint Lucia,,,25,22.02,15.3,21.44,7.9,268,4.9,1.75,1.22
Saint Vincent and the Grenadines,,,,12.92,18.8,36.54,1,369,4.9,2.13,0.91
Sao Tome and Principe,42.2,0.634,66.7,12.74,13.6,3.25,1.5,115,3.9,0.57,0.35
Saudi Arabia,48.9,0.655,,5.99,7.4,1.27,6,207,4.5,0.46,0.45
Senegal,44.9,0.661,46.7,28.85,2.9,0.27,6,68,3.9,0.49,0.33
Serbia,42.8,0.839,23.2,4.87,9,1.23,11.4,154,5,2.19,0.46
Seychelles,33.8,,25.3,12,4.3,12.54,8.1,287,4,0.79,0.98
Sierra Leone,51.8,0.578,56.8,80.1,3.2,1.73,6.7,47,3.9,0.51,0.36
Singapore,16.1,0.843,,1.85,4.1,0.16,11.2,185,4.6,0.71,0.86
Slovakia,23.3,0.813,,4.69,6.7,1.14,12.1,189,5.1,2.49,0.77
Slovenia,16.8,0.872,12,1.76,5,0.48,19.8,64,5.1,2.61,0.86
Solomon Islands,49.6,0.695,12.7,16.58,0.7,3.77,14.7,79,2.9,0.7,0.71
South Africa,43.8,0.741,55.5,25.78,29.2,36.4,23.5,248,4.6,1.94,0.98
South Korea,21,0.816,,2.59,3.9,0.6,28.6,105,4.1,2.53,0.87
South Sudan,75.4,0.479,76.4,63.34,12.2,14.87,3.9,50,4.4,1.38,0.35
Spain,28.5,0.86,20.7,2.71,15.5,0.62,7.7,113,5.2,1.73,1.78
Sri Lanka,53.2,0.679,4.1,5.92,4.3,2.42,14,135,4.1,0.87,0.61
Sudan,71,0.547,46.5,39.92,17.4,5.15,3.8,52,3.6,0.41,0.33
Suriname,37,0.744,,15.7,7.9,5.43,25.4,185,4.8,1.58,0.72
Sweden,15.3,0.879,17.1,2.15,8.3,1.08,14.7,73,4.9,2.36,0.87
Switzerland,14,0.893,16,3.52,4.8,0.59,14.5,73,5,2.53,1.51
Syria,75.9,0.416,35.2,18.45,8.6,,,60,3.9,0.42,0.39
Tajikistan,50.5,0.701,26.3,28.35,6.9,1.64,4.3,83,3.8,2.46,0.44
Tanzania,53.3,0.704,26.4,34.72,2.1,6.48,4.3,52,4.1,1.45,0.4
Thailand,48.7,0.707,9.9,7.41,1.1,2.58,8.8,445,4.4,1.22,0.85
Timor-Leste,51.7,0.721,41.8,36.52,4.7,4.1,3.7,54,3,0.74,0.54
Togo,55.1,0.665,55.1,44.36,3.7,,8.8,50,3.9,0.53,0.29
Tonga,,,22.5,9.81,3.1,0.97,3.8,166,3.2,0.68,0.82
Trinidad and Tobago,31.2,0.788,,14.83,3.2,30.65,8.7,276,5.2,1.48,0.84
Tunisia,43.6,0.651,15.2,14.29,15.1,3.06,3.3,197,4.9,0.42,0.47
Turkey,56.8,0.661,14.4,8.13,13.1,2.59,2.4,347,4.4,0.51,0.38
Turkmenistan,45,0.752,,36.1,4,4.22,5.7,576,4.2,2.82,0.55
Uganda,64.1,0.678,21.4,31.86,10.1,10.52,4.6,142,4.6,0.86,0.43
Ukraine,46,0.689,1.1,6.94,9.5,6.18,21.6,140,6.3,2.52,0.9
United Arab Emirates,28.8,0.781,,5.62,2.2,0.46,6.4,104,5.1,0.57,0.78
United Kingdom,24.5,0.883,18.6,3.62,3.7,,7.9,,4.5,3.42,2.19
United States,29.7,0.851,17.8,5.44,8.1,4.96,16.1,629,5.9,2.49,3.7
Uruguay,21.9,0.757,8.8,5.32,10.5,12.06,21.2,383,5,1.83,1.34
Uzbekistan,46.9,0.71,14.1,12.46,9,1.14,8,68,4.2,2.02,0.47
Vanuatu,,,12.7,21.07,7.9,,18,86,3.1,0.8,0.6
Venezuela,60.3,0.717,33.1,21.06,5,36.69,2.1,113,4.2,1.58,0.43
Vietnam,43.4,0.707,6.7,16.7,2.4,1.53,7.5,130,4,1.28,0.62
Yemen,77.5,0.351,48.6,45.71,13.5,6.77,5.8,35,3.6,0.4,0.31
Zambia,54,0.679,54.4,41.66,12.5,5.37,7.3,123,4,1.56,0.34
Zimbabwe,64.9,0.726,38.3,37.93,16.9,7.48,14.1,115,4,1.78,0.61
Somalia,112.3,,73,72.72,13.1,,7.9,24.6,4,,
